step,action,eef_pos,good,target_pos
55,[-0.14781379 -0.3         0.         -1.        ],[-0.03118509  0.0338078 ],False,[0.02964627 0.12332874]
56,[-0.14781379 -0.3         0.         -1.        ],[-0.03183711  0.03190049],False,[0.02964627 0.12332874]
57,[-0.14781379 -0.3         0.         -1.        ],[-0.03272983  0.0292916 ],False,[0.02964627 0.12332874]
58,[-0.14781379 -0.3         0.         -1.        ],[-0.03380027  0.02624026],False,[0.02964627 0.12332874]
59,[-0.14781379 -0.3         0.         -1.        ],[-0.0350467   0.02286332],False,[0.02964627 0.12332874]
60,[-0.14781379 -0.3         0.         -1.        ],[-0.03643689  0.01925797],False,[0.02964627 0.12332874]
61,[-0.14781379 -0.3         0.         -1.        ],[-0.03795669  0.01550125],False,[0.02964627 0.12332874]
62,[-0.14781379 -0.3         0.         -1.        ],[-0.03959147  0.0116515 ],False,[0.02964627 0.12332874]
63,[-0.14781379 -0.3         0.         -1.        ],[-0.04132323  0.00775021],False,[0.02964627 0.12332874]
64,[-0.14781379 -0.3         0.         -1.        ],[-0.04313282  0.003825  ],False,[0.02964627 0.12332874]
65,[-0.14781379 -0.3         0.         -1.        ],[-0.04500178 -0.00010703],False,[0.02964627 0.12332874]
66,[-0.14781379 -0.3         0.         -1.        ],[-0.04691347 -0.00403636],False,[0.02964627 0.12332874]
67,[-0.14781379 -0.3         0.         -1.        ],[-0.04885367 -0.00795854],False,[0.02964627 0.12332874]
68,[-0.14781379 -0.3         0.         -1.        ],[-0.05081083 -0.01187231],False,[0.02964627 0.12332874]
69,[-0.14781379 -0.3         0.         -1.        ],[-0.05277598 -0.01577826],False,[0.02964627 0.12332874]
70,[-0.14781379 -0.3         0.         -1.        ],[-0.05474247 -0.01967787],False,[0.02964627 0.12332874]
71,[-0.14781379 -0.3         0.         -1.        ],[-0.05670572 -0.02357289],False,[0.02964627 0.12332874]
72,[-0.14781379 -0.3         0.         -1.        ],[-0.05866282 -0.02746505],False,[0.02964627 0.12332874]
73,[-0.14781379 -0.3         0.         -1.        ],[-0.06061217 -0.0313558 ],False,[0.02964627 0.12332874]
74,[-0.14781379 -0.3         0.         -1.        ],[-0.06255318 -0.0352463 ],False,[0.02964627 0.12332874]
75,[-0.14781379 -0.3         0.         -1.        ],[-0.06448597 -0.03913737],False,[0.02964627 0.12332874]
76,[-0.14781379 -0.3         0.         -1.        ],[-0.06641113 -0.04302958],False,[0.02964627 0.12332874]
77,[-0.14781379 -0.3         0.         -1.        ],[-0.06832951 -0.04692326],False,[0.02964627 0.12332874]
78,[-0.14781379 -0.3         0.         -1.        ],[-0.0702421 -0.0508186],False,[0.02964627 0.12332874]
79,[-0.14781379 -0.3         0.         -1.        ],[-0.07214991 -0.05471565],False,[0.02964627 0.12332874]
80,[-0.14781379 -0.3         0.         -1.        ],[-0.07405388 -0.05861441],False,[0.02964627 0.12332874]
81,[-0.14781379 -0.3         0.         -1.        ],[-0.07595485 -0.06251482],False,[0.02964627 0.12332874]
82,[-0.14781379 -0.3         0.         -1.        ],[-0.07785356 -0.06641682],False,[0.02964627 0.12332874]
83,[-0.14781379 -0.3         0.         -1.        ],[-0.07975058 -0.07032033],False,[0.02964627 0.12332874]
84,[-0.14781379 -0.3         0.         -1.        ],[-0.08164637 -0.07422529],False,[0.02964627 0.12332874]
85,[-0.14781379 -0.3         0.         -1.        ],[-0.08354128 -0.07813163],False,[0.02964627 0.12332874]
86,[-0.14781379 -0.3         0.         -1.        ],[-0.08543554 -0.08203931],False,[0.02964627 0.12332874]
87,[-0.14781379 -0.3         0.         -1.        ],[-0.0873293 -0.0859483],False,[0.02964627 0.12332874]
88,[-0.14781379 -0.3         0.         -1.        ],[-0.08922265 -0.08985857],False,[0.02964627 0.12332874]
89,[-0.14781379 -0.3         0.         -1.        ],[-0.09111561 -0.0937701 ],False,[0.02964627 0.12332874]
90,[-0.14781379 -0.3         0.         -1.        ],[-0.09300818 -0.09768288],False,[0.02964627 0.12332874]
91,[-0.14781379 -0.3         0.         -1.        ],[-0.09490032 -0.10159691],False,[0.02964627 0.12332874]
92,[-0.14781379 -0.3         0.         -1.        ],[-0.09679197 -0.10551219],False,[0.02964627 0.12332874]
93,[-0.14781379 -0.3         0.         -1.        ],[-0.09868308 -0.1094287 ],False,[0.02964627 0.12332874]
94,[-0.14781379 -0.3         0.         -1.        ],[-0.10057357 -0.11334647],False,[0.02964627 0.12332874]
95,[-0.14781379 -0.3         0.         -1.        ],[-0.10246337 -0.11726549],False,[0.02964627 0.12332874]
96,[-0.14781379 -0.3         0.         -1.        ],[-0.10435241 -0.12118575],False,[0.02964627 0.12332874]
97,[-0.14781379 -0.3         0.         -1.        ],[-0.10624063 -0.12510727],False,[0.02964627 0.12332874]
98,[-0.14781379 -0.3         0.         -1.        ],[-0.10812796 -0.12903005],False,[0.02964627 0.12332874]
99,[-0.14781379 -0.3         0.         -1.        ],[-0.11001436 -0.13295408],False,[0.02964627 0.12332874]
100,[-0.14781379 -0.3         0.         -1.        ],[-0.11189976 -0.13687938],False,[0.02964627 0.12332874]
101,[-0.14781379 -0.3         0.         -1.        ],[-0.11378412 -0.14080593],False,[0.02964627 0.12332874]
