step,action,eef_pos,good,target_pos
170,[-0.3        -0.03662684  0.         -1.        ],[0.01544816 0.1213049 ],False,[0.02964627 0.12332874]
171,[-0.3        -0.03662684  0.         -1.        ],[0.01340848 0.12224337],False,[0.02964627 0.12332874]
172,[-0.3        -0.03662684  0.         -1.        ],[0.01104931 0.12282813],False,[0.02964627 0.12332874]
173,[-0.3        -0.03662684  0.         -1.        ],[0.00845361 0.12311973],False,[0.02964627 0.12332874]
174,[-0.3        -0.03662684  0.         -1.        ],[0.00562801 0.12316984],False,[0.02964627 0.12332874]
175,[-0.3        -0.03662684  0.         -1.        ],[0.00258919 0.12305689],False,[0.02964627 0.12332874]
176,[-0.3        -0.03662684  0.         -1.        ],[-0.00065324  0.12282878],False,[0.02964627 0.12332874]
177,[-0.3        -0.03662684  0.         -1.        ],[-0.00407711  0.12250928],False,[0.02964627 0.12332874]
178,[-0.3        -0.03662684  0.         -1.        ],[-0.00765405  0.12211573],False,[0.02964627 0.12332874]
179,[-0.3        -0.03662684  0.         -1.        ],[-0.01135402  0.12166253],False,[0.02964627 0.12332874]
180,[-0.3        -0.03662684  0.         -1.        ],[-0.01514909  0.12116507],False,[0.02964627 0.12332874]
181,[-0.3        -0.03662684  0.         -1.        ],[-0.01901509  0.12063973],False,[0.02964627 0.12332874]
182,[-0.3        -0.03662684  0.         -1.        ],[-0.02293103  0.12009926],False,[0.02964627 0.12332874]
183,[-0.3        -0.03662684  0.         -1.        ],[-0.02687929  0.11955267],False,[0.02964627 0.12332874]
184,[-0.3        -0.03662684  0.         -1.        ],[-0.03084572  0.11900594],False,[0.02964627 0.12332874]
185,[-0.3        -0.03662684  0.         -1.        ],[-0.03481948  0.11846274],False,[0.02964627 0.12332874]
186,[-0.3        -0.03662684  0.         -1.        ],[-0.03879267  0.11792506],False,[0.02964627 0.12332874]
187,[-0.3        -0.03662684  0.         -1.        ],[-0.04275998  0.11739368],False,[0.02964627 0.12332874]
188,[-0.3        -0.03662684  0.         -1.        ],[-0.04671816  0.11686861],False,[0.02964627 0.12332874]
189,[-0.3        -0.03662684  0.         -1.        ],[-0.0506656   0.11634939],False,[0.02964627 0.12332874]
190,[-0.3        -0.03662684  0.         -1.        ],[-0.05460193  0.11583531],False,[0.02964627 0.12332874]
191,[-0.3        -0.03662684  0.         -1.        ],[-0.05852764  0.11532554],False,[0.02964627 0.12332874]
192,[-0.3        -0.03662684  0.         -1.        ],[-0.06244379  0.11481929],False,[0.02964627 0.12332874]
193,[-0.3        -0.03662684  0.         -1.        ],[-0.06635175  0.11431583],False,[0.02964627 0.12332874]
194,[-0.3        -0.03662684  0.         -1.        ],[-0.07025302  0.11381451],False,[0.02964627 0.12332874]
195,[-0.3        -0.03662684  0.         -1.        ],[-0.07414908  0.11331483],False,[0.02964627 0.12332874]
196,[-0.3        -0.03662684  0.         -1.        ],[-0.07804135  0.11281635],False,[0.02964627 0.12332874]
197,[-0.3        -0.03662684  0.         -1.        ],[-0.08193104  0.11231876],False,[0.02964627 0.12332874]
198,[-0.3        -0.03662684  0.         -1.        ],[-0.08581922  0.11182182],False,[0.02964627 0.12332874]
199,[-0.3        -0.03662684  0.         -1.        ],[-0.08970675  0.11132534],False,[0.02964627 0.12332874]
200,[-0.3        -0.03662684  0.         -1.        ],[-0.09359443  0.11082952],False,[0.02964627 0.12332874]
201,[-0.3        -0.03662684  0.         -1.        ],[-0.09748391  0.11033751],False,[0.02964627 0.12332874]
202,[-0.3        -0.03662684  0.         -1.        ],[-0.10137665  0.10985204],False,[0.02964627 0.12332874]
203,[-0.3        -0.03662684  0.         -1.        ],[-0.10527374  0.10937475],False,[0.02964627 0.12332874]
204,[-0.3        -0.03662684  0.         -1.        ],[-0.10917618  0.10890703],False,[0.02964627 0.12332874]
205,[-0.3        -0.03662684  0.         -1.        ],[-0.11308491  0.10845017],False,[0.02964627 0.12332874]
206,[-0.3        -0.03662684  0.         -1.        ],[-0.11700061  0.10800483],False,[0.02964627 0.12332874]
207,[-0.3        -0.03662684  0.         -1.        ],[-0.12092268  0.10756796],False,[0.02964627 0.12332874]
208,[-0.3        -0.03662684  0.         -1.        ],[-0.12484997  0.10713541],False,[0.02964627 0.12332874]
209,[-0.3        -0.03662684  0.         -1.        ],[-0.12878144  0.10670413],False,[0.02964627 0.12332874]
210,[-0.3        -0.03662684  0.         -1.        ],[-0.13271619  0.10627223],False,[0.02964627 0.12332874]
211,[-0.3        -0.03662684  0.         -1.        ],[-0.13665346  0.10583866],False,[0.02964627 0.12332874]
212,[-0.3        -0.03662684  0.         -1.        ],[-0.14059252  0.10540293],False,[0.02964627 0.12332874]
213,[-0.3        -0.03662684  0.         -1.        ],[-0.14453272  0.10496489],False,[0.02964627 0.12332874]
214,[-0.3        -0.03662684  0.         -1.        ],[-0.14847339  0.10452455],False,[0.02964627 0.12332874]
215,[-0.3        -0.03662684  0.         -1.        ],[-0.15241384  0.104082  ],False,[0.02964627 0.12332874]
216,[-0.3        -0.01439229  0.         -1.        ],[-0.1563549   0.10375941],False,[0.02964627 0.12332874]
