step,action,eef_pos,good,target_pos
0,[-0.03570741  0.3         0.         -1.        ],[-0.07125635  0.12182148],False,[-0.0430333  0.0794   ]
1,[-0.03570741  0.3         0.         -1.        ],[-0.07168866  0.12479845],False,[-0.0430333  0.0794   ]
2,[-0.03570741  0.3         0.         -1.        ],[-0.07217588  0.12812128],False,[-0.0430333  0.0794   ]
3,[-0.03570741  0.3         0.         -1.        ],[-0.07270544  0.13163419],False,[-0.0430333  0.0794   ]
4,[-0.03570741  0.3         0.         -1.        ],[-0.0732673   0.13528144],False,[-0.0430333  0.0794   ]
5,[-0.03570741  0.3         0.         -1.        ],[-0.07385357  0.13902331],False,[-0.0430333  0.0794   ]
6,[-0.03570741  0.3         0.         -1.        ],[-0.07445753  0.14282828],False,[-0.0430333  0.0794   ]
7,[-0.03570741  0.3         0.         -1.        ],[-0.07507343  0.14667223],False,[-0.0430333  0.0794   ]
8,[-0.03570741  0.3         0.         -1.        ],[-0.07569643  0.15053775],False,[-0.0430333  0.0794   ]
9,[-0.03570741  0.3         0.         -1.        ],[-0.07632271  0.15441294],False,[-0.0430333  0.0794   ]
10,[-0.03570741  0.3         0.         -1.        ],[-0.07694933  0.15829025],False,[-0.0430333  0.0794   ]
11,[-0.03570741  0.3         0.         -1.        ],[-0.07757419  0.16216528],False,[-0.0430333  0.0794   ]
12,[-0.03570741  0.3         0.         -1.        ],[-0.07819589  0.16603584],False,[-0.0430333  0.0794   ]
13,[-0.03570741  0.3         0.         -1.        ],[-0.0788136   0.16990117],False,[-0.0430333  0.0794   ]
14,[-0.03570741  0.3         0.         -1.        ],[-0.07942692  0.17376134],False,[-0.0430333  0.0794   ]
15,[-0.03570741  0.3         0.         -1.        ],[-0.08003578  0.1776169 ],False,[-0.0430333  0.0794   ]
16,[-0.03570741  0.3         0.         -1.        ],[-0.08064031  0.18146857],False,[-0.0430333  0.0794   ]
17,[-0.03570741  0.3         0.         -1.        ],[-0.08124079  0.18531707],False,[-0.0430333  0.0794   ]
18,[-0.03570741  0.3         0.         -1.        ],[-0.08183758  0.18916309],False,[-0.0430333  0.0794   ]
19,[-0.03570741  0.3         0.         -1.        ],[-0.08243103  0.19300714],False,[-0.0430333  0.0794   ]
20,[-0.03570741  0.3         0.         -1.        ],[-0.08302152  0.19684966],False,[-0.0430333  0.0794   ]
21,[-0.03570741  0.3         0.         -1.        ],[-0.08360937  0.20069094],False,[-0.0430333  0.0794   ]
22,[-0.03570741  0.3         0.         -1.        ],[-0.08419488  0.20453119],False,[-0.0430333  0.0794   ]
23,[-0.03570741  0.3         0.         -1.        ],[-0.0847783   0.20837053],False,[-0.0430333  0.0794   ]
24,[-0.03570741  0.3         0.         -1.        ],[-0.08535982  0.21220905],False,[-0.0430333  0.0794   ]
25,[-0.03570741  0.3         0.         -1.        ],[-0.0859396   0.21604676],False,[-0.0430333  0.0794   ]
26,[-0.03570741  0.3         0.         -1.        ],[-0.08651776  0.21988369],False,[-0.0430333  0.0794   ]
27,[-0.03570741  0.3         0.         -1.        ],[-0.08709438  0.22371982],False,[-0.0430333  0.0794   ]
28,[-0.03570741  0.3         0.         -1.        ],[-0.08766953  0.22755516],False,[-0.0430333  0.0794   ]
29,[-0.03570741  0.3         0.         -1.        ],[-0.08824325  0.23138969],False,[-0.0430333  0.0794   ]
30,[-0.03570741  0.3         0.         -1.        ],[-0.08881556  0.23522341],False,[-0.0430333  0.0794   ]
31,[-0.03570741  0.3         0.         -1.        ],[-0.08938649  0.23905631],False,[-0.0430333  0.0794   ]
32,[-0.03570741  0.3         0.         -1.        ],[-0.08995603  0.24288841],False,[-0.0430333  0.0794   ]
33,[-0.03570741  0.3         0.         -1.        ],[-0.09052421  0.24671969],False,[-0.0430333  0.0794   ]
34,[-0.03570741  0.3         0.         -1.        ],[-0.09109101  0.25055018],False,[-0.0430333  0.0794   ]
35,[-0.03570741  0.3         0.         -1.        ],[-0.09165646  0.25437987],False,[-0.0430333  0.0794   ]
36,[-0.03570741  0.3         0.         -1.        ],[-0.09222054  0.25820879],False,[-0.0430333  0.0794   ]
37,[-0.3         0.17521471  0.         -1.        ],[-0.0942488   0.26147654],False,[-0.0430333  0.0794   ]
38,[-0.3         0.17521471  0.         -1.        ],[-0.09738779  0.26448724],False,[-0.0430333  0.0794   ]
39,[-0.3         0.17521471  0.         -1.        ],[-0.10074009  0.26741681],False,[-0.0430333  0.0794   ]
40,[-0.3         0.17521471  0.         -1.        ],[-0.10419186  0.27021667],False,[-0.0430333  0.0794   ]
41,[-0.3         0.17521471  0.         -1.        ],[-0.1077237  0.2728803],False,[-0.0430333  0.0794   ]
42,[-0.3         0.17521471  0.         -1.        ],[-0.11131344  0.27544101],False,[-0.0430333  0.0794   ]
