step,action,eef_pos,good,target_pos
165,[ 0.3         0.17040223  0.         -1.        ],[ 0.03496143 -0.10913242],False,[ 0.02636145 -0.11793118]
166,[ 0.3         0.17040223  0.         -1.        ],[ 0.03761882 -0.10731867],False,[ 0.02636145 -0.11793118]
167,[ 0.3         0.17040223  0.         -1.        ],[ 0.04052324 -0.10528967],False,[ 0.02636145 -0.11793118]
168,[ 0.3         0.17040223  0.         -1.        ],[ 0.04359443 -0.10316923],False,[ 0.02636145 -0.11793118]
169,[ 0.3         0.17040223  0.         -1.        ],[ 0.04679694 -0.10098712],False,[ 0.02636145 -0.11793118]
170,[ 0.3         0.17040223  0.         -1.        ],[ 0.05011973 -0.09876382],False,[ 0.02636145 -0.11793118]
171,[ 0.3         0.17040223  0.         -1.        ],[ 0.05355126 -0.09651528],False,[ 0.02636145 -0.11793118]
172,[ 0.3         0.17040223  0.         -1.        ],[ 0.05707734 -0.09425368],False,[ 0.02636145 -0.11793118]
173,[ 0.3         0.17040223  0.         -1.        ],[ 0.06068243 -0.0919879 ],False,[ 0.02636145 -0.11793118]
174,[ 0.3         0.17040223  0.         -1.        ],[ 0.06435108 -0.08972391],False,[ 0.02636145 -0.11793118]
175,[ 0.3         0.17040223  0.         -1.        ],[ 0.06806889 -0.08746535],False,[ 0.02636145 -0.11793118]
176,[ 0.3         0.17040223  0.         -1.        ],[ 0.07182311 -0.08521402],False,[ 0.02636145 -0.11793118]
177,[ 0.3         0.17040223  0.         -1.        ],[ 0.07560283 -0.08297043],False,[ 0.02636145 -0.11793118]
178,[ 0.3         0.17040223  0.         -1.        ],[ 0.07939911 -0.08073423],False,[ 0.02636145 -0.11793118]
179,[ 0.3         0.17040223  0.         -1.        ],[ 0.0832048  -0.07850461],False,[ 0.02636145 -0.11793118]
180,[ 0.3         0.17040223  0.         -1.        ],[ 0.08701443 -0.07628052],False,[ 0.02636145 -0.11793118]
181,[ 0.3         0.17040223  0.         -1.        ],[ 0.09082399 -0.07406092],False,[ 0.02636145 -0.11793118]
182,[ 0.3         0.17040223  0.         -1.        ],[ 0.09463065 -0.07184485],False,[ 0.02636145 -0.11793118]
183,[ 0.3         0.17040223  0.         -1.        ],[ 0.0984326  -0.06963149],False,[ 0.02636145 -0.11793118]
184,[ 0.3         0.17040223  0.         -1.        ],[ 0.10222876 -0.06742023],False,[ 0.02636145 -0.11793118]
185,[ 0.3         0.17040223  0.         -1.        ],[ 0.10601868 -0.0652106 ],False,[ 0.02636145 -0.11793118]
186,[ 0.3         0.17040223  0.         -1.        ],[ 0.10980228 -0.0630023 ],False,[ 0.02636145 -0.11793118]
187,[ 0.3         0.17040223  0.         -1.        ],[ 0.11357981 -0.06079514],False,[ 0.02636145 -0.11793118]
188,[ 0.3         0.17040223  0.         -1.        ],[ 0.11735165 -0.05858903],False,[ 0.02636145 -0.11793118]
189,[ 0.3         0.17040223  0.         -1.        ],[ 0.12111829 -0.05638394],False,[ 0.02636145 -0.11793118]
190,[ 0.3         0.17040223  0.         -1.        ],[ 0.12488024 -0.05417991],False,[ 0.02636145 -0.11793118]
191,[ 0.3         0.17040223  0.         -1.        ],[ 0.12863798 -0.05197697],False,[ 0.02636145 -0.11793118]
192,[ 0.3         0.17040223  0.         -1.        ],[ 0.13239194 -0.04977517],False,[ 0.02636145 -0.11793118]
193,[ 0.3         0.17040223  0.         -1.        ],[ 0.13614249 -0.04757459],False,[ 0.02636145 -0.11793118]
194,[ 0.3         0.17040223  0.         -1.        ],[ 0.13988991 -0.04537525],False,[ 0.02636145 -0.11793118]
195,[ 0.3         0.17040223  0.         -1.        ],[ 0.1436344  -0.04317722],False,[ 0.02636145 -0.11793118]
196,[ 0.3         0.17040223  0.         -1.        ],[ 0.14737609 -0.04098053],False,[ 0.02636145 -0.11793118]
197,[ 0.3         0.17040223  0.         -1.        ],[ 0.15111503 -0.03878521],False,[ 0.02636145 -0.11793118]
198,[ 0.3         0.17040223  0.         -1.        ],[ 0.15485121 -0.03659126],False,[ 0.02636145 -0.11793118]
199,[ 0.3         0.17040223  0.         -1.        ],[ 0.15858456 -0.03439871],False,[ 0.02636145 -0.11793118]
