step,action,eef_pos,good,target_pos
158,[ 0.05194787 -0.3         0.         -1.        ],[-0.15962496 -0.13504815],True,[-0.1421367  -0.23584676]
159,[ 0.05194787 -0.3         0.         -1.        ],[-0.15919675 -0.13803724],True,[-0.1421367  -0.23584676]
160,[ 0.05194787 -0.3         0.         -1.        ],[-0.15870795 -0.14135215],True,[-0.1421367  -0.23584676]
161,[ 0.05194787 -0.3         0.         -1.        ],[-0.15817171 -0.1448466 ],True,[-0.1421367  -0.23584676]
162,[ 0.05194787 -0.3         0.         -1.        ],[-0.1575968  -0.14847513],True,[-0.1421367  -0.23584676]
163,[ 0.05194787 -0.3         0.         -1.        ],[-0.15699593 -0.15220529],True,[-0.1421367  -0.23584676]
164,[ 0.05194787 -0.3         0.         -1.        ],[-0.15638132 -0.15600896],True,[-0.1421367  -0.23584676]
165,[ 0.05194787 -0.3         0.         -1.        ],[-0.15576255 -0.15986241],True,[-0.1421367  -0.23584676]
166,[ 0.05194787 -0.3         0.         -1.        ],[-0.15514596 -0.16374667],True,[-0.1421367  -0.23584676]
167,[ 0.05194787 -0.3         0.         -1.        ],[-0.15453505 -0.16764744],True,[-0.1421367  -0.23584676]
168,[ 0.05194787 -0.3         0.         -1.        ],[-0.15393108 -0.17155464],True,[-0.1421367  -0.23584676]
169,[ 0.05194787 -0.3         0.         -1.        ],[-0.15333381 -0.1754617 ],True,[-0.1421367  -0.23584676]
170,[ 0.05194787 -0.3         0.         -1.        ],[-0.15274216 -0.17936472],True,[-0.1421367  -0.23584676]
171,[ 0.05194787 -0.3         0.         -1.        ],[-0.15215461 -0.18326182],True,[-0.1421367  -0.23584676]
172,[ 0.05194787 -0.3         0.         -1.        ],[-0.1515696  -0.18715243],True,[-0.1421367  -0.23584676]
173,[ 0.05194787 -0.3         0.         -1.        ],[-0.15098568 -0.19103685],True,[-0.1421367  -0.23584676]
174,[ 0.05194787 -0.3         0.         -1.        ],[-0.15040166 -0.1949158 ],True,[-0.1421367  -0.23584676]
175,[ 0.05194787 -0.3         0.         -1.        ],[-0.14981663 -0.19879022],True,[-0.1421367  -0.23584676]
176,[ 0.05194787 -0.3         0.         -1.        ],[-0.14922993 -0.20266101],True,[-0.1421367  -0.23584676]
177,[ 0.05194787 -0.3         0.         -1.        ],[-0.14864118 -0.20652902],True,[-0.1421367  -0.23584676]
178,[ 0.05194787 -0.3         0.         -1.        ],[-0.14805017 -0.21039493],True,[-0.1421367  -0.23584676]
179,[ 0.05194787 -0.3         0.         -1.        ],[-0.14745684 -0.21425926],True,[-0.1421367  -0.23584676]
180,[ 0.05194787 -0.3         0.         -1.        ],[-0.14686125 -0.21812239],True,[-0.1421367  -0.23584676]
181,[ 0.05194787 -0.3         0.         -1.        ],[-0.14626352 -0.22198456],True,[-0.1421367  -0.23584676]
182,[ 0  0  0 -1],[-0.14596114 -0.22424369],True,[-0.1421367  -0.23584676]
183,[ 0  0  0 -1],[-0.14591294 -0.22530939],True,[-0.1421367  -0.23584676]
184,[ 0  0  0 -1],[-0.14593299 -0.22605203],True,[-0.1421367  -0.23584676]
185,[ 0  0  0 -1],[-0.14599264 -0.22657069],True,[-0.1421367  -0.23584676]
186,[ 0  0  0 -1],[-0.14606881 -0.22689885],True,[-0.1421367  -0.23584676]
187,[ 0  0  0 -1],[-0.14612603 -0.22711579],True,[-0.1421367  -0.23584676]
188,[ 0  0  0 -1],[-0.14616409 -0.22726835],True,[-0.1421367  -0.23584676]
189,[ 0  0  0 -1],[-0.14619288 -0.22737437],True,[-0.1421367  -0.23584676]
190,[ 0  0  0 -1],[-0.14621226 -0.22745109],True,[-0.1421367  -0.23584676]
191,[ 0  0  0 -1],[-0.14622211 -0.22751173],True,[-0.1421367  -0.23584676]
192,[ 0  0  0 -1],[-0.14622194 -0.22756298],True,[-0.1421367  -0.23584676]
193,[ 0  0  0 -1],[-0.14622443 -0.22760474],True,[-0.1421367  -0.23584676]
194,[ 0  0  0 -1],[-0.14623309 -0.22764089],True,[-0.1421367  -0.23584676]
195,[ 0  0  0 -1],[-0.14624541 -0.22767535],True,[-0.1421367  -0.23584676]
196,[ 0  0  0 -1],[-0.14626034 -0.22770997],True,[-0.1421367  -0.23584676]
197,[ 0  0  0 -1],[-0.14627722 -0.2277454 ],True,[-0.1421367  -0.23584676]
198,[ 0  0  0 -1],[-0.14629481 -0.22778039],True,[-0.1421367  -0.23584676]
199,[ 0  0  0 -1],[-0.14631229 -0.22781378],True,[-0.1421367  -0.23584676]
200,[ 0  0  0 -1],[-0.14632931 -0.22784516],True,[-0.1421367  -0.23584676]
201,[ 0  0  0 -1],[-0.14634573 -0.22787448],True,[-0.1421367  -0.23584676]
202,[ 0  0  0 -1],[-0.14636152 -0.22790181],True,[-0.1421367  -0.23584676]
